ULTRASONICO,OPTICO-INFRARROJO,DISTANCIA,PARED
1790,196,20,PLANA
2139,229,26,PLANA
2428,207,32,PLANA
2731,220,38,PLANA
3051,226,44,PLANA
3355,260,50,PLANA
3762,230,56,PLANA
4059,233,62,PLANA
4346,234,68,PLANA
1649,204,20,PLANA
1975,207,26,PLANA
2294,214,32,PLANA
2652,214,38,PLANA
2952,226,44,PLANA
3268,230,50,PLANA
3576,231,56,PLANA
3955,234,62,PLANA
4259,230,68,PLANA
1564,214,20,PLANA
1893,199,26,PLANA
2218,214,32,PLANA
2518,215,38,PLANA
2878,222,44,PLANA
3057,230,50,PLANA
3612,229,56,PLANA
3907,234,62,PLANA
4306,234,68,PLANA
1596,211,20,PLANA
1916,203,26,PLANA
2274,207,32,PLANA
2576,219,38,PLANA
2893,226,44,PLANA
3262,226,50,PLANA
3623,235,56,PLANA
3941,234,62,PLANA
4315,262,68,PLANA
1684,207,20,PLANA
1978,203,26,PLANA
2289,215,32,PLANA
2614,220,38,PLANA
2934,226,44,PLANA
3230,261,50,PLANA
3597,225,56,PLANA
3949,235,62,PLANA
4301,234,68,PLANA
2004,207,26,PLANA
1675,203,26,PLANA
2297,212,32,PLANA
2647,248,38,PLANA
2919,222,44,PLANA
3269,234,50,PLANA
3629,230,56,PLANA
3926,230,62,PLANA
4292,235,68,PLANA
1831,255,20,CONCAVA
2128,219,26,CONCAVA
2453,222,32,CONCAVA
2732,227,38,CONCAVA
3072,226,44,CONCAVA
3339,233,50,CONCAVA
3771,230,56,CONCAVA
4082,230,62,CONCAVA
4240,233,68,CONCAVA
1794,211,20,CONCAVA
2104,223,26,CONCAVA
2456,222,32,CONCAVA
2744,226,38,CONCAVA
3108,267,44,CONCAVA
3407,233,50,CONCAVA
3753,234,56,CONCAVA
3990,229,62,CONCAVA
4334,234,68,CONCAVA
1802,216,20,CONCAVA
2077,219,26,CONCAVA
2426,224,32,CONCAVA
2693,226,38,CONCAVA
3075,230,44,CONCAVA
3363,230,50,CONCAVA
3688,230,56,CONCAVA
3912,265,62,CONCAVA
4301,266,68,CONCAVA
2065,218,20,CONCAVA
2389,222,26,CONCAVA
2632,226,32,CONCAVA
3010,226,38,CONCAVA
3301,230,44,CONCAVA
3682,230,50,CONCAVA
3967,234,56,CONCAVA
3878,234,62,CONCAVA
4377,234,68,CONCAVA
1825,210,20,CONCAVA
2125,251,26,CONCAVA
2453,255,32,CONCAVA
2749,226,38,CONCAVA
3060,225,44,CONCAVA
3376,229,50,CONCAVA
3732,229,56,CONCAVA
3856,230,62,CONCAVA
4331,234,68,CONCAVA
1884,199,20,CONVEXA
2216,219,26,CONVEXA
2547,223,32,CONVEXA
2867,230,38,CONVEXA
3177,232,44,CONVEXA
3606,230,50,CONVEXA
3885,236,56,CONVEXA
4351,234,62,CONVEXA
4657,233,68,CONVEXA
1934,211,20,CONVEXA
2287,218,26,CONVEXA
2614,226,32,CONVEXA
2893,230,38,CONVEXA
3301,230,44,CONVEXA
3595,230,50,CONVEXA
3987,230,56,CONVEXA
4328,235,62,CONVEXA
4683,233,68,CONVEXA
2057,215,20,CONVEXA
2357,222,26,CONVEXA
2679,226,32,CONVEXA
3043,226,38,CONVEXA
3313,226,44,CONVEXA
3693,234,50,CONVEXA
4084,234,56,CONVEXA
4339,234,62,CONVEXA
4636,237,68,CONVEXA
2154,211,20,CONVEXA
2447,219,26,CONVEXA
2764,222,32,CONVEXA
3107,227,38,CONVEXA
3401,230,44,CONVEXA
3741,234,50,CONVEXA
4061,233,56,CONVEXA
4392,232,62,CONVEXA
4653,236,68,CONVEXA
2077,216,20,CONVEXA
2385,219,26,CONVEXA
2741,226,32,CONVEXA
3048,224,38,CONVEXA
3412,234,44,CONVEXA
3741,263,50,CONVEXA
4061,234,56,CONVEXA
4383,234,62,CONVEXA
4656,233,68,CONVEXA
